sonar_rule,sonar_issue_type,sonar_severity,paper_hallucination_type,relation_issue_count,sonar_rule_total_issues,relation_coverage_of_sonar_rule_pct,relation_coverage_of_all_sonar_issues_pct,responses_with_relation,paper_labeled_responses,paper_type_coverage_pct
java:S1172,CODE_SMELL,MAJOR,Behavior Conflicting,4,10,40.0,0.58,4,420,0.95
java:S1172,CODE_SMELL,MAJOR,Library/Project,2,10,20.0,0.29,2,309,0.65
java:S1172,CODE_SMELL,MAJOR,Undefined Variables,5,10,50.0,0.72,5,200,2.5
java:S1172,CODE_SMELL,MAJOR,Useless Statements (executed without effect),2,10,20.0,0.29,2,71,2.82
java:S1192,CODE_SMELL,CRITICAL,Library/Project,1,1,100.0,0.14,1,309,0.32
java:S1197,CODE_SMELL,MINOR,Library/Project,1,5,20.0,0.14,1,309,0.32
java:S1197,CODE_SMELL,MINOR,Undefined Variables,4,5,80.0,0.58,4,200,2.0
java:S1206,BUG,MINOR,Undefined Variables,1,1,100.0,0.14,1,200,0.5
java:S125,CODE_SMELL,MAJOR,Behavior Conflicting,2,2,100.0,0.29,2,420,0.48
java:S125,CODE_SMELL,MAJOR,Useless Statements (executed without effect),1,2,50.0,0.14,1,71,1.41
java:S135,CODE_SMELL,MINOR,Library/Project,1,2,50.0,0.14,1,309,0.32
java:S135,CODE_SMELL,MINOR,Undefined Variables,1,2,50.0,0.14,1,200,0.5
java:S1481,CODE_SMELL,MINOR,Library/Project,1,1,100.0,0.14,1,309,0.32
java:S1488,CODE_SMELL,MINOR,Behavior Conflicting,3,9,33.33,0.43,3,420,0.71
java:S1488,CODE_SMELL,MINOR,Data Conflicting,1,9,11.11,0.14,1,50,2.0
java:S1488,CODE_SMELL,MINOR,Library/Project,3,9,33.33,0.43,3,309,0.97
java:S1488,CODE_SMELL,MINOR,Undefined Variables,3,9,33.33,0.43,2,200,1.0
java:S1488,CODE_SMELL,MINOR,Useless Statements (executed without effect),1,9,11.11,0.14,1,71,1.41
java:S1604,CODE_SMELL,MAJOR,Undefined Variables,1,1,100.0,0.14,1,200,0.5
java:S1659,CODE_SMELL,MINOR,Library/Project,1,1,100.0,0.14,1,309,0.32
java:S1854,CODE_SMELL,MAJOR,Algorithm,24,409,5.87,3.47,17,60,28.33
java:S1854,CODE_SMELL,MAJOR,Behavior Conflicting,67,409,16.38,9.7,47,420,11.19
java:S1854,CODE_SMELL,MAJOR,Common Sense,5,409,1.22,0.72,3,3,100.0
java:S1854,CODE_SMELL,MAJOR,Computer Theory,2,409,0.49,0.29,1,27,3.7
java:S1854,CODE_SMELL,MAJOR,Data Conflicting,4,409,0.98,0.58,1,50,2.0
java:S1854,CODE_SMELL,MAJOR,Library/Project,164,409,40.1,23.73,64,309,20.71
java:S1854,CODE_SMELL,MAJOR,Undefined Variables,132,409,32.27,19.1,60,200,30.0
java:S1854,CODE_SMELL,MAJOR,Useless Statements (executed without effect),42,409,10.27,6.08,22,71,30.99
java:S1905,CODE_SMELL,MINOR,Useless Statements (executed without effect),1,1,100.0,0.14,1,71,1.41
java:S2129,CODE_SMELL,MAJOR,Behavior Conflicting,1,2,50.0,0.14,1,420,0.24
java:S2129,CODE_SMELL,MAJOR,Undefined Variables,1,2,50.0,0.14,1,200,0.5
java:S2189,BUG,BLOCKER,Useless Statements (executed without effect),1,1,100.0,0.14,1,71,1.41
java:S2259,BUG,MAJOR,Undefined Variables,1,1,100.0,0.14,1,200,0.5
java:S2293,CODE_SMELL,MINOR,Library/Project,2,2,100.0,0.29,2,309,0.65
java:S2293,CODE_SMELL,MINOR,Undefined Variables,1,2,50.0,0.14,1,200,0.5
java:S3012,CODE_SMELL,MINOR,Algorithm,2,8,25.0,0.29,2,60,3.33
java:S3012,CODE_SMELL,MINOR,Behavior Conflicting,5,8,62.5,0.72,5,420,1.19
java:S3012,CODE_SMELL,MINOR,Library/Project,1,8,12.5,0.14,1,309,0.32
java:S3626,CODE_SMELL,MINOR,Undefined Variables,1,1,100.0,0.14,1,200,0.5
java:S3740,CODE_SMELL,MAJOR,Behavior Conflicting,1,1,100.0,0.14,1,420,0.24
java:S3776,CODE_SMELL,CRITICAL,Library/Project,6,8,75.0,0.87,6,309,1.94
java:S3776,CODE_SMELL,CRITICAL,Undefined Variables,2,8,25.0,0.29,2,200,1.0
java:S5738,CODE_SMELL,MAJOR,Behavior Conflicting,1,1,100.0,0.14,1,420,0.24
java:S6201,CODE_SMELL,MINOR,Algorithm,1,3,33.33,0.14,1,60,1.67
java:S6201,CODE_SMELL,MINOR,Library/Project,2,3,66.67,0.29,1,309,0.32
java:S6208,CODE_SMELL,INFO,Library/Project,2,2,100.0,0.29,1,309,0.32
python:S1066,CODE_SMELL,MAJOR,Data Conflicting,1,1,100.0,0.14,1,50,2.0
python:S112,CODE_SMELL,MAJOR,Behavior Conflicting,2,3,66.67,0.29,2,420,0.48
python:S112,CODE_SMELL,MAJOR,Library/Project,1,3,33.33,0.14,1,309,0.32
python:S117,CODE_SMELL,MINOR,Behavior Conflicting,7,8,87.5,1.01,7,420,1.67
python:S117,CODE_SMELL,MINOR,Computer Theory,1,8,12.5,0.14,1,27,3.7
python:S1172,CODE_SMELL,MAJOR,Algorithm,6,44,13.64,0.87,3,60,5.0
python:S1172,CODE_SMELL,MAJOR,Behavior Conflicting,15,44,34.09,2.17,12,420,2.86
python:S1172,CODE_SMELL,MAJOR,Computer Theory,2,44,4.55,0.29,2,27,7.41
python:S1172,CODE_SMELL,MAJOR,Data Conflicting,3,44,6.82,0.43,3,50,6.0
python:S1172,CODE_SMELL,MAJOR,Library/Project,18,44,40.91,2.6,10,309,3.24
python:S1172,CODE_SMELL,MAJOR,Mathematics & Natural Science,1,44,2.27,0.14,1,17,5.88
python:S1172,CODE_SMELL,MAJOR,Undefined Variables,3,44,6.82,0.43,3,200,1.5
python:S1172,CODE_SMELL,MAJOR,Useless Statements (executed without effect),1,44,2.27,0.14,1,71,1.41
python:S1172,CODE_SMELL,MAJOR,Useless Statements (unexecuted),1,44,2.27,0.14,1,7,14.29
python:S1192,CODE_SMELL,CRITICAL,Behavior Conflicting,1,1,100.0,0.14,1,420,0.24
python:S1226,BUG,MINOR,Algorithm,2,3,66.67,0.29,2,60,3.33
python:S1226,BUG,MINOR,Behavior Conflicting,2,3,66.67,0.29,2,420,0.48
python:S1481,CODE_SMELL,MINOR,Algorithm,5,18,27.78,0.72,1,60,1.67
python:S1481,CODE_SMELL,MINOR,Behavior Conflicting,3,18,16.67,0.43,3,420,0.71
python:S1481,CODE_SMELL,MINOR,Data Conflicting,4,18,22.22,0.58,3,50,6.0
python:S1481,CODE_SMELL,MINOR,Library/Project,3,18,16.67,0.43,3,309,0.97
python:S1481,CODE_SMELL,MINOR,Useless Statements (executed without effect),3,18,16.67,0.43,1,71,1.41
python:S1542,CODE_SMELL,MAJOR,Behavior Conflicting,7,14,50.0,1.01,7,420,1.67
python:S1542,CODE_SMELL,MAJOR,Computer Theory,3,14,21.43,0.43,3,27,11.11
python:S1542,CODE_SMELL,MAJOR,Library/Project,2,14,14.29,0.29,2,309,0.65
python:S1542,CODE_SMELL,MAJOR,Useless Statements (executed without effect),1,14,7.14,0.14,1,71,1.41
python:S1542,CODE_SMELL,MAJOR,Useless Statements (unexecuted),1,14,7.14,0.14,1,7,14.29
python:S1656,BUG,MAJOR,Algorithm,4,4,100.0,0.58,1,60,1.67
python:S1656,BUG,MAJOR,Behavior Conflicting,4,4,100.0,0.58,1,420,0.24
python:S1854,CODE_SMELL,MAJOR,Computer Theory,1,12,8.33,0.14,1,27,3.7
python:S1854,CODE_SMELL,MAJOR,Library/Project,10,12,83.33,1.45,2,309,0.65
python:S1854,CODE_SMELL,MAJOR,Useless Statements (executed without effect),1,12,8.33,0.14,1,71,1.41
python:S1862,BUG,MAJOR,Library/Project,2,2,100.0,0.29,1,309,0.32
python:S1871,CODE_SMELL,MAJOR,Behavior Conflicting,1,2,50.0,0.14,1,420,0.24
python:S1871,CODE_SMELL,MAJOR,Mathematics & Natural Science,1,2,50.0,0.14,1,17,5.88
python:S2190,BUG,BLOCKER,Behavior Conflicting,2,3,66.67,0.29,2,420,0.48
python:S2190,BUG,BLOCKER,Useless Statements (unexecuted),1,3,33.33,0.14,1,7,14.29
python:S2275,BUG,BLOCKER,Undefined Variables,1,1,100.0,0.14,1,200,0.5
python:S3358,CODE_SMELL,MAJOR,Behavior Conflicting,1,1,100.0,0.14,1,420,0.24
python:S3457,CODE_SMELL,MAJOR,Behavior Conflicting,1,1,100.0,0.14,1,420,0.24
python:S3776,CODE_SMELL,CRITICAL,Behavior Conflicting,5,13,38.46,0.72,5,420,1.19
python:S3776,CODE_SMELL,CRITICAL,Fragmented Logics,1,13,7.69,0.14,1,21,4.76
python:S3776,CODE_SMELL,CRITICAL,Library/Project,9,13,69.23,1.3,9,309,2.91
python:S3923,BUG,MAJOR,Library/Project,1,1,100.0,0.14,1,309,0.32
python:S5603,CODE_SMELL,MAJOR,Behavior Conflicting,1,1,100.0,0.14,1,420,0.24
python:S5603,CODE_SMELL,MAJOR,Fragmented Logics,1,1,100.0,0.14,1,21,4.76
python:S5756,BUG,BLOCKER,Algorithm,1,1,100.0,0.14,1,60,1.67
python:S5806,CODE_SMELL,MAJOR,Behavior Conflicting,1,1,100.0,0.14,1,420,0.24
python:S5855,BUG,MAJOR,Computer Theory,1,1,100.0,0.14,1,27,3.7
python:S5869,CODE_SMELL,MAJOR,Computer Theory,2,2,100.0,0.29,1,27,3.7
python:S6326,CODE_SMELL,MAJOR,Library/Project,1,1,100.0,0.14,1,309,0.32
python:S6353,CODE_SMELL,MINOR,Behavior Conflicting,1,2,50.0,0.14,1,420,0.24
python:S6353,CODE_SMELL,MINOR,Computer Theory,1,2,50.0,0.14,1,27,3.7
python:S6395,CODE_SMELL,MAJOR,Computer Theory,1,1,100.0,0.14,1,27,3.7
python:S6397,CODE_SMELL,MAJOR,Computer Theory,1,1,100.0,0.14,1,27,3.7
python:S930,BUG,BLOCKER,Library/Project,1,1,100.0,0.14,1,309,0.32
