sonar_rule,paper_type,issues
python:S1542,Computer Theory,3
python:S1542,Library/Project,2
python:S1542,Useless Statements (executed without effect),1
python:S1542,Useless Statements (unexecuted),1
python:S1656,Algorithm,4
python:S1656,Behavior Conflicting,4
python:S1854,<unlabeled>,28
python:S1854,Computer Theory,1
python:S1854,Library/Project,10
python:S1854,Useless Statements (executed without effect),1
python:S1862,<unlabeled>,7
python:S1862,Library/Project,2
python:S1871,<unlabeled>,2
python:S1871,Behavior Conflicting,1
python:S1871,Mathematics & Natural Science,1
python:S2190,<unlabeled>,1
python:S2190,Behavior Conflicting,2
python:S2190,Useless Statements (unexecuted),1
python:S2275,Undefined Variables,1
python:S3358,Behavior Conflicting,1
python:S3457,Behavior Conflicting,1
python:S3776,<unlabeled>,24
python:S3776,Behavior Conflicting,5
python:S3776,Fragmented Logics,1
python:S3776,Library/Project,9
python:S3827,<unlabeled>,1
python:S3923,<unlabeled>,1
python:S3923,Library/Project,1
python:S5361,<unlabeled>,1
python:S5603,Behavior Conflicting,1
python:S5603,Fragmented Logics,1
python:S5754,<unlabeled>,4
python:S5756,Algorithm,1
python:S5806,<unlabeled>,10
python:S5806,Behavior Conflicting,1
python:S5855,<unlabeled>,2
python:S5855,Computer Theory,1
python:S5864,<unlabeled>,2
python:S5869,<unlabeled>,3
python:S5869,Computer Theory,2
python:S6019,<unlabeled>,1
python:S6326,Library/Project,1
python:S6353,<unlabeled>,14
python:S6353,Behavior Conflicting,1
python:S6353,Computer Theory,1
python:S6395,<unlabeled>,3
python:S6395,Computer Theory,1
python:S6397,<unlabeled>,3
python:S6397,Computer Theory,1
python:S930,Library/Project,1
